Comment,Designator,Footprint,LCSC Part #
"10u","C1, C2, C3, C4, C5, C6, C7, C8, C9, C10","C0805","C15850"
"100n","C11","C0805","C14663"
"10n","C12, C13","C0603","C57112"
"B5819W","D1, D2, D3, D4, D416, D417, D101, D107","SOD-123","C8598"
"PSM712-LF","D5, D6, D411","SOT-23","C32677"
"LED","D7","LED-0603",""
"LED","D8","LED-0603",""
"Fuse","F1","Fuse_1206_3216Metric",""
"Fuse","F2","Fuse_1206_3216Metric",""
"Fuse","F3","Fuse_1206_3216Metric",""
"Conn_01x05","J1","PinHeader_1x05_P2.54mm_Vertical",""
"Conn_01x05","J2","PinHeader_1x05_P2.54mm_Vertical",""
"USB_C_Receptacle_USB2.0","J3","USB_C_Receptacle_Amphenol_12401610E4-2A",""
"ZXMS6005SGTA","Q1, Q2, Q3, Q4, Q5, Q6, Q13, Q14, Q15, Q16","SOT-223","C174042"
"ISL9V3040D3S","Q7","DPAK",""
"ISL9V3040D3S","Q8","DPAK",""
"ISL9V3040D3S","Q9","DPAK",""
"ISL9V3040D3S","Q10","DPAK",""
"ISL9V3040D3S","Q11","DPAK",""
"ISL9V3040D3S","Q12","DPAK",""
"AO3400A","Q17, Q18, Q101, Q103","SOT-23","C20917"
"33k","R1","R0603",""
"6.8k","R2","R0603",""
"5.6k","R3","R0603",""
"5.6k","R4","R0603",""
"4.7k","R5, R6, R7, R8, R9, R10, R11, R24, R25, R26, R27, R28, R29","R0603","C23162"
"22","R12, R13, R14, R18, R19, R20","R0603","C23345"
"0","R15, R16, R17, R21, R22, R23","R2512","C25469"
"R","R30","R0603",""
"R","R31","R0603",""
"~","U1","90_pin_ecu",""
"TLE9201SG","U2","Infineon_PG-DSO-12-11","C112633"
"1u","C600, C607, C609, C610, C611, C600_2, C607_2, C609_2, C610_2, C611_2, C414, C415","C0402","C52923"
"100n","C601, C602, C605, C608, C612, C613, C614, C615, C617, C618, C601_2, C602_2, C605_2, C608_2, C612_2, C613_2, C614_2, C615_2, C617_2, C618_2, C100, C101, C105, C108, C111, C112, C113, C119, C120, C122, C124, C126, C127, C130, C134, C147, C180, C185, C190, C195, C220, C221, C222","C0402","C1525"
"33n","C603, C603_2","C0402","C1585"
"DNP","C604","C0402",""
"DNP","C606","C0402",""
"4.7u","C616, C616_2, C427","C0603","C19666"
"LED-RED-0603","D600, D603, D600_2, D603_2, D103","LED-0603","C2286"
"LED-GREEN-0603","D601, D601_2, D104, D108","LED-0603","C72043"
"LED-BLUE-0603","D602, D602_2, D105, D109, D110, D111, D112, D113, D114, D115, D116","LED-0603","C72041"
"PESD1CAN","D604, D604_2, D100","SOT-23","C343993"
"VND7NV04TR-E","Q600, Q600_2","DPAK","C155605"
"VNP28N04-E","Q601","TO-220-3_Vertical",""
"1k","R600, R601, R616, R617, R622, R626, R627, R628, R600_2, R601_2, R616_2, R617_2, R622_2, R626_2, R627_2, R628_2","R0402","C11702"
"68k","R602, R603, R602_2, R603_2, R422","R0402","C36871"
"10k","R604, R605, R613, R614, R618, R619, R625, R604_2, R605_2, R613_2, R614_2, R618_2, R619_2, R625_2, R421, R426, R427, R102, R107, R108, R109, R121, R124, R126, R127, R128, R132, R135, R136, R137, R138, R139, R141, R228, R229, R230, R231, R232, R233, R234, R235, R246, R247, R248, R249, R250, R251, R252, R253","R0402","C25744"
"10","R606, R606_2, R110, R111, R112, R113, R114, R115, R116, R117","R0402","C25077"
"22k","R607, R607_2","R0402","C25768"
"47","R608, R608_2","R0402","C25118"
"61.9","R609, R609_2","R0603","C23092"
"20k","R610, R611, R612, R610_2, R611_2, R612_2","R0402","C25765"
"100k","R615, R621, R615_2, R621_2, R471, R473, R471_2, R473_2","R0402","C25741"
"27k","R620, R623, R620_2, R623_2","R0402","C25771"
"3.3k","R624, R624_2","R0402","C25890"
"DNP","R629","R0402",""
"DNP","R630","R0402",""
"MCP6004","U600, U600_2, U180, U185, U190, U195","TSSOP14","C50282"
"AD8628","U601, U601_2","TSOT23-5","C29309"
"STM32F042K6Tx","U602, U602_2","LQFP32","C69216"
"REF3033","U603, U603_2, U102","SOT-23","C36658"
"XC6206P332MR","U604, U604_2","SOT-23","C5446"
"TJA1051T/3/1J","U605, U605_2, U100","SO8","C38695"
"DNP","C604_2","C0402",""
"DNP","C606_2","C0402",""
"VNP28N04-E","Q601_2","TO-220-3_Vertical",""
"DNP","R629_2","R0402",""
"DNP","R630_2","R0402",""
"100n","C470, C470_2, C411, C413, C420","C0402","C307331"
"3.3n","C471, C471_2","C0402","C26404"
"330p","C472, C472_2","C0402","C13533"
"47p","C473, C473_2","C0402","C1567"
"680p","C474, C474_2","C0603","C1630"
"470k","R470, R470_2","R0402","C25790"
"12k","R472, R472_2, R423","R0402","C25752"
"33k","R474, R474_2, R411, R424, R425","R0402","C25779"
"LMV321IDBVR","U470, U471, U470_2, U471_2","SOT23-5","C7972"
"47u","C410, C412","C1206","C96123"
"10u","C421, C422, C423, C424, C425, C426","C0603","C96446"
"10n","C428, C202, C208, C209, C210, C211, C212, C213, C214, C215","C0402","C15195"
"220p","C429","C0402","C1530"
"1N4148WS","D410, D412, D413, D414","SOD-323","C2128"
"SMCJ30A","D418","SMC","C310046"
"SS34","D420","SMA","C8678"
"P6SMB6.8CA","D421, D205","SMB","C78395"
"2.2uH","L420","L1210","C36828"
"MHT136UGCT","LED1, LED2, LED3, LED4","LED0402","C434447"
"6.8k","R410, R413","R0402","C25917"
"1","R420","R0402","C25086"
"4.7k","R428, R144, R203, R204, R207, R208, R219, R220, R223, R224","R0402","C25900"
"MIC5205-3.3YM5","U410","SOT23-5","C37970"
"LMR14020","U420","SOP8","C187824"
"SRV05-4-P-T7","D102, D200, D202, D203, D206","SOT23-6","C85364"
"SN74LVC4245APWR","U103","TSSOP24","C7859"
"SN74LVC1G06DCKR","U110","SOT-353","C7828"
"SMD1206B035TF/16","F100, F101","R1206","C269114"
"LPS22HBTR","U107","HLGA-10L","C94049"
"LED-YELLOW-0603","D106","LED-0603","C72038"
"LDL1117S33R","U101","SOT-223","C435835"
"BTN","S100, S101","SMD-2_2.9x3.9x1.7","C115357"
"BLM18AG601SN1D","L100","L0603","C19330"
"BAT54S","VD100, VD101, VD102, VD103","SOT-23","C47546"
"AO3401A","Q100, Q102","SOT-23","C15127"
"680k","R201, R202, R205, R206, R221, R222, R225, R226","R0402","C163456"
"510","R133, R134","R0603","C23193"
"510","R254, R255, R256, R258","R0402","C25123"
"470","R101, R118, R119","R0603-4","C25510"
"120","R100","R0603","C22787"
"100","R104, R106","R0603","C22775"
"74LVC2G17GW,125","U108, U109","SOT-363","C80500"
"33k","R120","R0603","C4216"
"32.768 kHz","Y101","SMD2012","C99009"
"22u","C117, C123","C0603","C59461"
"18p","C132, C136","C0402","C1549"
"12p","C115, C116","C0402","C1547"
"10k","R129, R130, R140","R0603-4","C29718"
"5.1k","R195","R0402","C25905"
"4.7u","C102, C103, C104, C106, C107, C137, C138, C140","C0402","C23733"
"4.7k","R125, R180, R181, R185, R186, R190, R191, R196, R197, R200, R218, R227, R245","R0603-4","C66697"
"2.2u","C114, C131, C223, C224, C229","C0402","C12530"
"2.2k","R122, R123, R146, R147","R0402","C25879"
"1n","C135, C139, C141, C142, C143, C144, C145, C146, C200, C201, C203, C225, C226, C227, C228","C0402","C1523"
"0","R143, R148","R0402","C17168"
"MWSA0503S-100MT","L421","MWSA0503","C408412"
"nSMD050-24V","F410","SMD1206","C70076"
"TLS115B0EJXUMA1","U411","PG-DSO-8","C3743696"
"STM32F407VGT6","U105","LQFP100","C12345"
"TXM20M0002503LFBEO00T","Y102","SMD5032-2P","C362485"
"TF-014-H16","J100","SMD","C125814"
"1u","C133","C0603","C519559"
"WAS3157B-6","U755, U756","SOT-363","C213161"
"39301160","J10","02x08_4.2mm","C5355564"
